,branch_lengths,dist,rep,quint
4,0.04127581120421256,86.40430315946921,57,5
0,0.04144269315476194,14.493562776854624,58,1
1,0.04115366449839681,25.592495468740772,58,2
2,0.04143640159340659,35.88688920967745,58,3
3,0.04070271011452141,52.54620405888262,58,4
4,0.04149404261446899,86.40430315946921,58,5
0,0.041186404551282224,14.493562776854624,59,1
1,0.040754284690792564,25.592495468740772,59,2
2,0.04153856396520141,35.88688920967745,59,3
3,0.042604623334860384,52.54620405888262,59,4
4,0.040146323406593486,86.40430315946921,59,5
0,0.04047926369505498,14.493562776854624,60,1
1,0.04221986504809901,25.592495468740772,60,2
2,0.040620369935897536,35.88688920967745,60,3
3,0.04171288674759521,52.54620405888262,60,4
4,0.041198077271062304,86.40430315946921,60,5
0,0.04059061014194153,14.493562776854624,61,1
1,0.04038670731562076,25.592495468740772,61,2
2,0.04142188281593402,35.88688920967745,61,3
3,0.04180160089326628,52.54620405888262,61,4
4,0.04202886279304036,86.40430315946921,61,5
0,0.042828946543040425,14.493562776854624,62,1
1,0.04170194907466791,25.592495468740772,62,2
2,0.04017681986263736,35.88688920967745,62,3
3,0.04040063345396249,52.54620405888262,62,4
4,0.041121275773809654,86.40430315946921,62,5
0,0.04148401640109897,14.493562776854624,63,1
1,0.03990843501603307,25.592495468740772,63,2
2,0.04190779441849815,35.88688920967745,63,3
3,0.040748807755382595,52.54620405888262,63,4
4,0.04217990933150193,86.40430315946921,63,5
0,0.040904594496337064,14.493562776854624,64,1
1,0.042938403852496684,25.592495468740772,64,2
2,0.040933805393772976,35.88688920967745,64,3
3,0.0407476793403573,52.54620405888262,64,4
4,0.040705866671245525,86.40430315946921,64,5
0,0.04075179680402934,14.493562776854624,65,1
1,0.04167486249198356,25.592495468740772,65,2
2,0.04191134028388292,35.88688920967745,65,3
3,0.04128753862116361,52.54620405888262,65,4
4,0.04060448019688651,86.40430315946921,65,5
0,0.04129615635531145,14.493562776854624,66,1
1,0.04216172824553378,25.592495468740772,66,2
2,0.04107071435897438,35.88688920967745,66,3
3,0.041176264099862595,52.54620405888262,66,4
4,0.04052532731227117,86.40430315946921,66,5
0,0.04116241455128214,14.493562776854624,67,1
1,0.04076622709115902,25.592495468740772,67,2
2,0.04098204176282058,35.88688920967745,67,3
3,0.04272487426019248,52.54620405888262,67,4
4,0.04059470281135531,86.40430315946921,67,5
0,0.04181167072802214,14.493562776854624,68,1
1,0.040264814704535086,25.592495468740772,68,2
2,0.04192025416208803,35.88688920967745,68,3
3,0.04033341182317908,52.54620405888262,68,4
4,0.041898784482600766,86.40430315946921,68,5
0,0.04101396109890118,14.493562776854624,69,1
1,0.040386496903344046,25.592495468740772,69,2
2,0.04077851541666673,35.88688920967745,69,3
3,0.042392620540540556,52.54620405888262,69,4
4,0.04165834051739944,86.40430315946921,69,5
0,0.04249248946428577,14.493562776854624,70,1
1,0.04034425063673843,25.592495468740772,70,2
2,0.04083214101190489,35.88688920967745,70,3
3,0.04180645488776919,52.54620405888262,70,4
4,0.04075431074175837,86.40430315946921,70,5
0,0.04024798445054951,14.493562776854624,71,1
1,0.040687208818140266,25.592495468740772,71,2
2,0.04253365365842494,35.88688920967745,71,3
3,0.04133406115895563,52.54620405888262,71,4
4,0.0414266793910257,86.40430315946921,71,5
0,0.04150537089743596,14.493562776854624,72,1
1,0.03991259227668349,25.592495468740772,72,2
2,0.04127787102106234,35.88688920967745,72,3
3,0.041231989917544724,52.54620405888262,72,4
4,0.04230136195054957,86.40430315946921,72,5
0,0.04161945387362642,14.493562776854624,73,1
1,0.04081920160787925,25.592495468740772,73,2
2,0.04165678624084256,35.88688920967745,73,3
3,0.04129513243243247,52.54620405888262,73,4
4,0.040839055934065956,86.40430315946921,73,5
0,0.04182690862179489,14.493562776854624,74,1
1,0.04136932087952358,25.592495468740772,74,2
2,0.04065661404304041,35.88688920967745,74,3
3,0.04117505067796627,52.54620405888262,74,4
4,0.041201932770146596,86.40430315946921,74,5
0,0.04122950633241767,14.493562776854624,75,1
1,0.04127286135135145,25.592495468740772,75,2
2,0.04158141801282062,35.88688920967745,75,3
3,0.040518542611085666,52.54620405888262,75,4
4,0.04162715391941402,86.40430315946921,75,5
0,0.04110316781135538,14.493562776854624,76,1
1,0.040396916985799364,25.592495468740772,76,2
2,0.04118626920787552,35.88688920967745,76,3
3,0.042328571282638644,52.54620405888262,76,4
4,0.04121498463369976,86.40430315946921,76,5
0,0.04126736714743598,14.493562776854624,77,1
1,0.04229326097572159,25.592495468740772,77,2
2,0.04165636533424915,35.88688920967745,77,3
3,0.040858304251030764,52.54620405888262,77,4
4,0.04015480730311358,86.40430315946921,77,5
0,0.04080679303571433,14.493562776854624,78,1
1,0.040593862675217564,25.592495468740772,78,2
2,0.041142986195054985,35.88688920967745,78,3
3,0.0418915780256529,52.54620405888262,78,4
4,0.04179458007783901,86.40430315946921,78,5
0,0.040987100347985424,14.493562776854624,79,1
1,0.041467926298671604,25.592495468740772,79,2
2,0.042198344972527585,35.88688920967745,79,3
3,0.04091855436097121,52.54620405888262,79,4
4,0.0406578287179488,86.40430315946921,79,5
0,0.04136299190018327,14.493562776854624,80,1
1,0.0425910869766378,25.592495468740772,80,2
2,0.04122778928113564,35.88688920967745,80,3
3,0.039910486124599104,52.54620405888262,80,4
4,0.04113745311355317,86.40430315946921,80,5
0,0.041765269583333424,14.493562776854624,81,1
1,0.040689447219422775,25.592495468740772,81,2
2,0.04109605227106235,35.88688920967745,81,3
3,0.0411400966972058,52.54620405888262,81,4
4,0.041538633919414016,86.40430315946921,81,5
0,0.04140482848443234,14.493562776854624,82,1
1,0.04104311074209807,25.592495468740772,82,2
2,0.041944228058608125,35.88688920967745,82,3
3,0.04067446806688047,52.54620405888262,82,4
4,0.04116281307234442,86.40430315946921,82,5
0,0.041177981767399306,14.493562776854624,83,1
1,0.04079318639028867,25.592495468740772,83,2
2,0.04168245291208802,35.88688920967745,83,3
3,0.04140052268896031,52.54620405888262,83,4
4,0.04117552267399263,86.40430315946921,83,5
0,0.041398226863553156,14.493562776854624,84,1
1,0.04110103358222636,25.592495468740772,84,2
2,0.04130379381868139,35.88688920967745,84,3
3,0.041945042583600683,52.54620405888262,84,4
4,0.04048195986263744,86.40430315946921,84,5
0,0.041608855828754614,14.493562776854624,85,1
1,0.04172882181401752,25.592495468740772,85,2
2,0.04045068044871808,35.88688920967745,85,3
3,0.04112262411818608,52.54620405888262,85,4
4,0.04131898538461544,86.40430315946921,85,5
0,0.042101782115384755,14.493562776854624,86,1
1,0.04044372045350439,25.592495468740772,86,2
2,0.04109567700091582,35.88688920967745,86,3
3,0.041964640838296055,52.54620405888262,86,4
4,0.04062394430860804,86.40430315946921,86,5
0,0.0414076762225275,14.493562776854624,87,1
1,0.04131770160787911,25.592495468740772,87,2
2,0.041451791442307775,35.88688920967745,87,3
3,0.041275824251030754,52.54620405888262,87,4
4,0.04077685597527482,86.40430315946921,87,5
0,0.040775811584249276,14.493562776854624,88,1
1,0.04082758753550166,25.592495468740772,88,2
2,0.04212594043498169,35.88688920967745,88,3
3,0.04165116545121401,52.54620405888262,88,4
4,0.04084929194139203,86.40430315946921,88,5
0,0.04065798856227114,14.493562776854624,89,1
1,0.040583391323866236,25.592495468740772,89,2
2,0.04215484785256427,35.88688920967745,89,3
3,0.04096053584058643,52.54620405888262,89,4
4,0.041872605334249115,86.40430315946921,89,5
0,0.04156542500000008,14.493562776854624,90,1
1,0.04067505250572613,25.592495468740772,90,2
2,0.04142237367673995,35.88688920967745,90,3
3,0.040987578776912635,52.54620405888262,90,4
4,0.04157899330586087,86.40430315946921,90,5
0,0.04168306606227106,14.493562776854624,91,1
1,0.04163409078332584,25.592495468740772,91,2
2,0.040079313498168526,35.88688920967745,91,3
3,0.0413324592258361,52.54620405888262,91,4
4,0.0415010907280221,86.40430315946921,91,5
0,0.04162924205586084,14.493562776854624,92,1
1,0.04198052210719201,25.592495468740772,92,2
2,0.040766267449633714,35.88688920967745,92,3
3,0.040919640004581016,52.54620405888262,92,4
4,0.0409343182829671,86.40430315946921,92,5
0,0.042632670902014745,14.493562776854624,93,1
1,0.04028977559780131,25.592495468740772,93,2
2,0.04076350519688648,35.88688920967745,93,3
3,0.041404038030233604,52.54620405888262,93,4
4,0.04113944781593417,86.40430315946921,93,5
0,0.040936974578754656,14.493562776854624,94,1
1,0.0419952232524051,25.592495468740772,94,2
2,0.04185854327838836,35.88688920967745,94,3
3,0.04164865206596425,52.54620405888262,94,4
4,0.03979093725274729,86.40430315946921,94,5
0,0.04091951543498166,14.493562776854624,95,1
1,0.041147065139716076,25.592495468740772,95,2
2,0.04138992868131877,35.88688920967745,95,3
3,0.041583359537334066,52.54620405888262,95,4
4,0.04119004338827846,86.40430315946921,95,5
0,0.04221176875915759,14.493562776854624,96,1
1,0.04038315540082461,25.592495468740772,96,2
2,0.04100754178113567,35.88688920967745,96,3
3,0.04194423262482832,52.54620405888262,96,4
4,0.04068302907509159,86.40430315946921,96,5
0,0.041356878850732706,14.493562776854624,97,1
1,0.04059531298671553,25.592495468740772,97,2
2,0.041464695535714254,35.88688920967745,97,3
3,0.041254207824095425,52.54620405888262,97,4
4,0.041558413640110016,86.40430315946921,97,5
0,0.0411339625686814,14.493562776854624,98,1
1,0.041236532950068745,25.592495468740772,98,2
2,0.041037704633699705,35.88688920967745,98,3
3,0.04147053788364644,52.54620405888262,98,4
4,0.04135116345238105,86.40430315946921,98,5
0,0.04208412342032973,14.493562776854624,99,1
1,0.041130631465872675,25.592495468740772,99,2
2,0.04162781092948731,35.88688920967745,99,3
3,0.04014841077416399,52.54620405888262,99,4
4,0.04123827103937738,86.40430315946921,99,5
0,0.04167811825091581,14.493562776854624,100,1
1,0.04128210456252862,25.592495468740772,100,2
2,0.04123271058608072,35.88688920967745,100,3
3,0.04117071185524523,52.54620405888262,100,4
4,0.040866139816849875,86.40430315946921,100,5
0,0.04191182109432235,14.493562776854624,101,1
1,0.04120656028401295,25.592495468740772,101,2
2,0.04184875731684985,35.88688920967745,101,3
3,0.04066064540540545,52.54620405888262,101,4
4,0.0406017328342492,86.40430315946921,101,5
0,0.04183139589743599,14.493562776854624,102,1
1,0.04223015512597351,25.592495468740772,102,2
2,0.04091121206501844,35.88688920967745,102,3
3,0.04184202131012378,52.54620405888262,102,4
4,0.03941574213827834,86.40430315946921,102,5
0,0.04111767023351648,14.493562776854624,103,1
1,0.041825348268438,25.592495468740772,103,2
2,0.04031632112637365,35.88688920967745,103,3
3,0.04190693678882282,52.54620405888262,103,4
4,0.04106409449175838,86.40430315946921,103,5
0,0.042521665206044036,14.493562776854624,104,1
1,0.04171839344022004,25.592495468740772,104,2
2,0.04090647875915749,35.88688920967745,104,3
3,0.040196279766376644,52.54620405888262,104,4
4,0.04088672149725279,86.40430315946921,104,5
0,0.04003429031593414,14.493562776854624,105,1
1,0.042036142840128334,25.592495468740772,105,2
2,0.040276146414835165,35.88688920967745,105,3
3,0.04191389479615215,52.54620405888262,105,4
4,0.0419699962454213,86.40430315946921,105,5
0,0.04131773087912091,14.493562776854624,106,1
1,0.04094453934493824,25.592495468740772,106,2
2,0.0416832342811356,35.88688920967745,106,3
3,0.04097600277141553,52.54620405888262,106,4
4,0.041308034079670444,86.40430315946921,106,5
0,0.04100709477106235,14.493562776854624,107,1
1,0.04153531447091169,25.592495468740772,107,2
2,0.04083173329212454,35.88688920967745,107,3
3,0.04089713675675682,52.54620405888262,107,4
4,0.04195849645604405,86.40430315946921,107,5
0,0.04058040299908443,14.493562776854624,108,1
1,0.0400956363811269,25.592495468740772,108,2
2,0.04178571521520149,35.88688920967745,108,3
3,0.04079079862116361,52.54620405888262,108,4
4,0.042976514647435946,86.40430315946921,108,5
0,0.040788462426740044,14.493562776854624,109,1
1,0.04081147837837842,25.592495468740772,109,2
2,0.04130350347069607,35.88688920967745,109,3
3,0.041622924553367,52.54620405888262,109,4
4,0.04170340781135537,86.40430315946921,109,5
0,0.04142799146520154,14.493562776854624,110,1
1,0.039951378011910246,25.592495468740772,110,2
2,0.04231851527472535,35.88688920967745,110,3
3,0.041174590320659725,52.54620405888262,110,4
4,0.041356702467948814,86.40430315946921,110,5
0,0.042151669345238216,14.493562776854624,111,1
1,0.04060734867155298,25.592495468740772,111,2
2,0.0416360955906594,35.88688920967745,111,3
3,0.041074014406779664,52.54620405888262,111,4
4,0.040760303827838934,86.40430315946921,111,5
0,0.04090492536172167,14.493562776854624,112,1
1,0.04145161696747603,25.592495468740772,112,2
2,0.040777626680403044,35.88688920967745,112,3
3,0.04181244715529102,52.54620405888262,112,4
4,0.04128354035714282,86.40430315946921,112,5
0,0.0419973936675825,14.493562776854624,113,1
1,0.040955437159871745,25.592495468740772,113,2
2,0.0413454175869966,35.88688920967745,113,3
3,0.04034689339441136,52.54620405888262,113,4
4,0.0415841164835165,86.40430315946921,113,5
0,0.04043108089743586,14.493562776854624,114,1
1,0.04187873968392127,25.592495468740772,114,2
2,0.04065907739926748,35.88688920967745,114,3
3,0.04120713071461304,52.54620405888262,114,4
4,0.04205404623626389,86.40430315946921,114,5
0,0.04155241072802199,14.493562776854624,115,1
1,0.04170257360971147,25.592495468740772,115,2
2,0.040067001831501914,35.88688920967745,115,3
3,0.04195764689418239,52.54620405888262,115,4
4,0.040950704848901225,86.40430315946921,115,5
0,0.04208332000000005,14.493562776854624,116,1
1,0.03995291339899234,25.592495468740772,116,2
2,0.040801097280219786,35.88688920967745,116,3
3,0.041393033637196576,52.54620405888262,116,4
4,0.04199891394688654,86.40430315946921,116,5
0,0.04151970835164848,14.493562776854624,117,1
1,0.040506173614292325,25.592495468740772,117,2
2,0.0401385864423077,35.88688920967745,117,3
3,0.04155100848831888,52.54620405888262,117,4
4,0.04251412702380958,86.40430315946921,117,5
0,0.040558897861721795,14.493562776854624,118,1
1,0.041806513463124265,25.592495468740772,118,2
2,0.0416166166529304,35.88688920967745,118,3
3,0.04187144448007331,52.54620405888262,118,4
4,0.040376873576007354,86.40430315946921,118,5
0,0.04186140343406599,14.493562776854624,119,1
1,0.040949984104443546,25.592495468740772,119,2
2,0.04109961941391948,35.88688920967745,119,3
3,0.04084977081997258,52.54620405888262,119,4
4,0.041468708278388326,86.40430315946921,119,5
