strain	date
CY010436|A/Canterbury/68/2001	2001-07-18
CY010444|A/Canterbury/69/2001	2001-07-17
CY009764|A/Canterbury/7/2000	2000-07-20
CY010452|A/Canterbury/70/2001	2001-07-17
CY010460|A/Canterbury/71/2001	2001-07-17
CY010292|A/Canterbury/72/2001	2001-07-16
CY010300|A/Canterbury/73/2001	2001-07-18
CY009964|A/Canterbury/74/2001	2001-07-04
CY009788|A/Canterbury/76/2000	2000-09-18
CY009972|A/Canterbury/76/2001	2001-07-16
CY009812|A/Canterbury/78/2000	2000-09-26
CY009796|A/Canterbury/79/2000	2000-09-21
CY010468|A/Canterbury/79/2001	2001-07-18
CY010380|A/Canterbury/8/2000	2000-07-18
CY009804|A/Canterbury/87/2000	2000-09-27
CY009940|A/Canterbury/9/2000	2000-07-17
CY010140|A/Canterbury/95/2000	2000-10-22
CY121261|A/Chile/1/1983	1983-XX-XX
CY020437|A/Chile/1/1983	1983-XX-XX
CY125132|A/Chile/4795/2000	2000-XX-XX
CY125140|A/Chile/8885/2001	2001-XX-XX
JX477158|A/Chile/8885/2001	2001-XX-XX
X17221|A/CHR/157/83	1983-XX-XX
CY021037|A/Christs_Hospital/157/1982	1982-XX-XX
CY125188|A/Christchurch/1/2003	2003-XX-XX
CY125156|A/Christchurch/4/2001	2001-XX-XX
EU716526|A/Colorado/01/2008	2008-01-07
GQ475704|A/Colorado/08/2008	2008-12-06
GQ475780|A/Colorado/17/2008	2008-12-09
EU516252|A/Colorado/21/2007	2007-11-12
EU516018|A/Colorado/21/2007	2007-11-12
EU516244|A/Colorado/25/2007	2007-10-15
EU516259|A/Colorado/26/2007	2007-10-31
EU516248|A/Colorado/27/2007	2007-11-06
EU516302|A/Colorado/33/2007	2007-12-06
EU716538|A/Colorado/39/2007	2007-12-09
CY026523|A/Colorado/UR06_0053/2007	2007-01-22
CY026579|A/Colorado/UR06_0110/2007	2007-01-30
CY025827|A/Colorado/UR06_0111/2007	2007-01-30
CY025405|A/Colorado/UR06_0207/2007	2007-02-07
CY025333|A/Colorado/UR06_0255/2007	2007-02-12
CY026779|A/Colorado/UR06_0287/2007	2007-02-13
CY026819|A/Colorado/UR06_0336/2007	2007-02-16
CY096851|A/Colorado/UR06_0495/2007	2007-03-01
CY027899|A/Colorado/UR06_0496/2007	2007-03-01
CY026235|A/Colorado/UR06_0498/2007	2007-03-05
CY027227|A/Colorado/UR06_0499/2007	2007-03-05
CY100972|A/Cusco/WRAIR1730P/2008	2008-08-20
CY104878|A/DaNang/DN238/2008	2008-07-02
CY104556|A/DaNang/DN302/2008	2008-08-19
CY104886|A/DaNang/DN329/2008	2008-09-05
CY104894|A/DaNang/DN345/2008	2008-09-17
CY104902|A/DaNang/DN364/2008	2008-09-30
CY104910|A/DaNang/DN365/2008	2008-09-30
CY104918|A/DaNang/DN431/2008	2008-11-10
CY104926|A/DaNang/DN432/2008	2008-11-11
CY104934|A/DaNang/DN467/2008	2008-12-03
CY104942|A/DaNang/DN479/2008	2008-12-15
FJ687024|A/Delaware/01/2008	2008-10-30
FJ264945|A/Denmark/01/2008	2008-XX-XX
FJ264944|A/Denmark/02/2008	2008-XX-XX
FJ264940|A/Denmark/04/2008	2008-XX-XX
FJ264941|A/Denmark/05/2008	2008-XX-XX
FJ264943|A/Denmark/06/2008	2008-XX-XX
EU097936|A/Denmark/11/2001	2001-XX-XX
EU097945|A/Denmark/11/2005	2005-XX-XX
FJ264942|A/Denmark/11/2008	2008-XX-XX
EU097954|A/Denmark/110/2005	2005-XX-XX
EU097944|A/Denmark/116/2005	2005-XX-XX
FJ264950|A/Denmark/122/2008	2008-02-13
EU097937|A/Denmark/14/2001	2001-XX-XX
